State,District,Number of operational holdings,Average size of operational holding (Ha),No. of cultivators using diesel pumps,No. of cultivators using electric pumps,image_url
Madhya Pradesh,East Nimar,151129,2.12,5854,37809,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Guna,152151,2.07,29533,44379,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Gwalior,120826,1.69,20753,27175,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Harda,50811,3.29,20640,19557,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Hoshangabad,137973,2.3,23836,55351,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Indore,129170,1.89,11572,46884,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Jabalpur,202323,1.49,201,65510,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Jhabua,137905,1.42,9872,14049,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Katni,193453,1.2,14505,56331,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Mandla,182774,1.52,3994,6559,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Mandsaur,217572,1.64,41660,137617,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Morena,228848,1.21,67102,107285,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Narsimhapur,157156,1.92,12126,97058,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Neemuch,114166,1.54,8577,62084,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Panna,196709,1.52,25380,16618,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Raisen,160268,2.68,35082,45158,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Rajgarh,249095,1.83,84266,104529,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Ratlam,182169,1.78,39519,72444,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Rewa,283989,1.39,17686,54818,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Sagar,312583,1.75,58295,141977,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Satna,273583,1.32,22081,71091,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Sehore,171461,2.34,17815,109475,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Seoni,249608,1.77,17467,23579,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Shahdol,149048,1.48,6408,14898,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Shajapur,246458,1.92,40258,115181,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Sheopur,100230,1.68,33117,46341,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Shivpuri,254712,1.81,96219,95009,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Sidhi,136731,1.47,5932,26443,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Singrauli,136968,1.45,11459,16567,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Tikamgarh,139655,1.53,38782,44969,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Ujjain,231956,2.21,43367,117558,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Umaria,88255,1.54,12869,12178,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,Vidisha,202334,2.62,49910,64927,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Madhya Pradesh,West Nimar,206211,2.06,7787,54080,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Ahmadnagar,954126,1.29,57701,254977,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Akola,240888,1.69,26871,46729,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Amravati,414471,1.7,30235,106762,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Aurangabad (Mhr),529809,1.32,37998,175962,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Bhandara,218534,0.97,26913,44761,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Bid,651547,1.32,17038,106198,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Buldana,429434,1.62,40328,123722,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Chandrapur,304073,1.77,26498,47042,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Dhule,235915,1.77,27314,16649,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Garhchiroli,134807,1.68,11048,20211,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Gondiya,237666,0.9,25459,57056,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Hingoli,212980,1.67,29099,47789,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Jalgaon,437752,1.77,34890,160199,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Jalna,410013,1.42,45256,158931,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Kolhapur,634995,0.7,62331,297681,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Latur,388670,1.65,44539,109740,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Nagpur,268197,1.87,37814,74824,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Nanded,581990,1.42,55478,145508,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Nandurbar,146729,1.98,3453,5195,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Nashik,641279,1.53,58194,360018,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Osmanabad,356470,1.93,39875,84875,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Parbhani,347764,1.62,31259,103073,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Pune,741646,1.36,66302,285468,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Raigarh (Mhr),310881,1.08,1632,9852,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Ratnagiri,453372,1.23,10760,17172,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Sangli,537145,1.24,42762,160481,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Satara,859482,0.75,77635,353663,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Sindhudurg,276856,1.07,17982,38113,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Solapur,666963,1.88,44184,299082,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Thane,279565,1.41,7283,19619,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Wardha,196063,1.9,36425,51015,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Washim,195379,2.24,33433,35133,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Maharashtra,Yavatmal,378427,2.19,15695,123381,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Manipur,Bishnupur,13945,1.36,1124,12923,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Manipur,Chandel,6265,1.61,47,426,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Manipur,Churachandpur,15385,0.82,32,615,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Manipur,Imphal East,19710,1.02,37,8977,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Manipur,Imphal West,22130,0.96,610,1780,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Manipur,Senapati,20580,1.07,41,1599,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Manipur,Tamenglong,7685,2.04,0,3199,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Manipur,Thoubal,32610,1.1,4055,30428,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Manipur,Ukhrul,12285,1.08,0,8486,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Meghalaya,East Garo Hills,20782,1.27,73,49,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Meghalaya,East Khasi Hills,32529,1.41,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Meghalaya,Jaintia Hills,22898,1.43,0,76,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Meghalaya,Ri Bhoi,25738,1.29,0,170,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Meghalaya,South Garo Hills,12768,1.28,0,167,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Meghalaya,West Garo Hills,44227,1.68,1291,216,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Meghalaya,West Khasi Hills,49906,1.14,64,290,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Mizoram,Aizawl,16319,0.99,229,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Mizoram,Champhai,20136,1.05,47,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Mizoram,Kolasib,5925,1.87,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Mizoram,Lawangtlai,11682,0.79,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Mizoram,Lunglei,15754,0.98,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Mizoram,Mamit,10423,1.82,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Mizoram,Saiha,4120,0.95,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Mizoram,Serchhip,7377,1.28,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Nagaland,Dimapur,22603,4.21,3019,111,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Nagaland,Kiphire,8604,3.9,0,2636,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Nagaland,Kohima,21110,5.41,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Nagaland,Longleng,6636,8.9,0,11,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Nagaland,Mokokchung,14951,8.12,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Nagaland,Mon,23922,5.07,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Nagaland,Peren,10451,2.44,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Nagaland,Phek,18804,3.89,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Nagaland,Tuensang,23394,8.09,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Nagaland,Wokha,10579,11.11,48,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Nagaland,Zunheboto,16709,7.34,0,85,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Anugul,151419,0.92,4060,4841,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Balangir,249561,1.04,10542,2094,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Baleshwar,285723,0.76,27493,56844,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Bargarh,193317,1.39,20097,36658,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Bauda,75900,1.08,5252,4305,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Bhadrak,190901,0.92,63143,2021,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Cuttack,164884,0.87,41804,19969,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Debagarh,43040,1,2770,404,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Dhenkanal,111511,0.89,4642,3041,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Gajapati,69332,0.8,9867,1797,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Ganjam,295260,0.88,40983,7755,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Jagatsinghapur,122865,0.71,8129,2030,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Jajapur,125347,1.14,25766,5868,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Jharsuguda,63096,0.94,4918,736,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Kalahandi,184271,1.44,5085,1563,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Kandhamal,91483,1.05,11624,359,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Kendrapara,162132,0.87,34006,20830,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Kendujhar,256388,0.91,8114,2194,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Khordha,119234,0.84,10209,1812,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Koraput,166393,1.52,8587,326,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Malkangiri,96521,1.23,1816,197,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Mayurbhanj,389892,0.89,21150,6713,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Nabarangapur,146447,1.25,6678,551,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Nayagarh,111985,0.74,6700,414,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Nuapada,98742,1.18,3870,544,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Puri,163621,0.82,77716,26939,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Rayagada,129580,1.23,204,1524,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Sambalpur,101009,1.48,25718,2295,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Subarnapur,95709,1.04,3086,2732,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Odisha,Sundargarh,210005,1.19,10317,2497,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Amritsar,69869,3.16,11068,46959,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Barnala,40380,4.29,7943,23765,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Bathinda,56397,4.83,22967,39602,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Faridkot,35669,3.82,25645,26589,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Fatehgarh Sahib,25748,3.92,10277,20434,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Firozpur,82365,5.08,31686,45046,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Gurdaspur,94242,2.42,27925,49529,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Hoshiarpur,77556,2.77,20265,38207,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Jalandhar,47721,4.31,13324,30594,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Kapurthala,31835,3.63,14330,26421,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Ludhiana,70640,4.44,39531,47358,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Mansa,46661,4.62,18609,22045,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Moga,51712,3.43,32363,31486,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Muktsar,34049,6.56,17010,30302,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Patiala,62322,3.88,11449,47405,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Rupnagar,33563,2.11,8836,10120,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Sahibzada Ajit Singh Nagar,20227,2.89,3462,18228,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Sangrur,85290,3.37,4991,73300,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Shahid Bhagat Singh Nagar,26512,3.1,11503,16204,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Punjab,Tarn Taran,58862,3.29,1146,42217,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Ajmer,253277,1.92,63346,42558,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Alwar,405099,1.27,99363,256812,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Banswara,239306,1,29565,9676,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Baran,163207,2.1,63137,41875,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Barmer,280141,7.8,7113,25050,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Bharatpur,267340,1.5,189532,63089,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Bhilwara,319743,1.76,119689,100331,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Bikaner,223971,8.56,5025,12565,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Bundi,151377,1.74,85044,54846,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Chittaurgarh,211799,1.8,47525,78033,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Churu,215085,5.7,3608,5932,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Dausa,132890,1.83,13253,49093,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Dhaulpur,124114,1.33,32544,13936,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Dungarpur,176856,1.04,28250,21154,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Ganganagar,114884,7.04,14888,4307,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Hanumangarh,176716,4.79,60953,27050,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Jaipur,328151,2.25,19724,218937,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Jaisalmer,99327,8.05,882,6255,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Jalor,161815,4.84,13627,56979,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Jhalawar,184845,1.98,103110,73121,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Jhunjhunun,254487,1.78,1780,102795,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Jodhpur,249594,6.87,11724,36415,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Karauli,148670,1.49,25387,72547,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Kota,111037,2.47,46880,31404,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Nagaur,335588,4.28,918,41687,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Pali,212450,3.53,13554,24172,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Pratapgarh (Raj),129260,1.51,42976,44514,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Rajsamand,143790,1.33,49578,37706,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Sawai Madhopur,164601,1.84,94581,46871,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Sikar,302891,1.96,18581,111953,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Sirohi,77395,2.53,19898,33787,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Tonk,192317,2.6,137479,67652,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Rajasthan,Udaipur,323530,1.32,68261,66232,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Sikkim,East Sikkim,24191,1.22,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Sikkim,North Sikkim,3446,4.41,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Sikkim,South Sikkim,22548,1.3,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Sikkim,West Sikkim,23694,1.26,0,0,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Ariyalur,210897,0.59,8032,61005,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Coimbatore,130100,1.67,9970,78924,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Cuddalore,310501,0.72,36688,102119,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Dharmapuri,269078,0.81,17900,123865,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Dindigul,294361,1.02,35054,109087,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Erode,197304,1.34,16543,112316,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Kancheepuram,217944,0.66,26830,154196,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Kanniyakumari,377665,0.21,1824,97104,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Karur,145683,1.38,30457,50821,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Krishnagiri,281392,0.8,15553,111141,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Madurai,292183,0.57,39523,132877,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Nagappattinam,173790,0.8,12512,28461,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Namakkal,234542,0.91,5953,99033,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Perambalur,141456,0.8,2488,45610,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Pudukkottai,378523,0.59,66979,171964,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Ramanathapuram,393394,0.7,52462,29054,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Salem,318123,0.82,6570,152872,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Sivaganga,268090,0.62,19904,113859,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Thanjavur,292317,0.75,12425,172344,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,The Nilgiris,64028,0.72,2217,39,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Theni,128506,0.95,9224,75533,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Thiruvallur,217773,0.57,22718,192902,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Thiruvarur,152039,0.94,14432,50008,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Thoothukkudi,195876,1.19,6150,30796,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Tiruchirappalli,301107,0.74,2376,120764,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Tirunelveli,292352,0.7,12208,71140,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Tiruppur,174679,1.93,2000,116291,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Tiruvannamalai,447367,0.68,10882,271955,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Vellore,384823,0.64,6590,171040,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Viluppuram,614961,0.67,18852,304122,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tamil Nadu,Virudunagar,197893,0.9,1869,38778,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Telangana,Adilabad,519937,1.4,17389,91831,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Telangana,Karimnagar,662320,0.97,25197,424567,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Telangana,Khammam,468177,1.15,9475,137064,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Telangana,Mahbubnagar,982300,1.21,56687,267999,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Telangana,Medak,684359,0.97,16291,233829,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Telangana,Nalgonda,757053,1.19,121397,330743,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Telangana,Nizamabad,473456,0.91,30069,180222,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Telangana,Rangareddy,342526,1.22,3004,108895,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Telangana,Warangal,663054,1.01,19342,295280,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tripura,Dhalai,73422,0.52,2822,360,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tripura,North Tripura,86106,0.57,5493,704,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tripura,South Tripura,183608,0.47,12180,2182,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Tripura,West Tripura,235016,0.47,18000,19248,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Agra,259043,1.08,41900,31010,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Aligarh,289031,1.06,62327,12123,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Allahabad,551611,0.68,170590,29230,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Ambedkar Nagar,339475,0.53,88814,13126,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Auraiya,201377,0.72,40462,482,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Azamgarh,606245,0.53,166142,13080,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Baghpat,115964,0.94,44543,1175,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Bahraich,505608,0.68,185986,19287,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Ballia,380243,0.64,90539,1241,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Balrampur,294962,0.8,122829,17394,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Banda,263765,1.34,149140,37254,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Bara Banki,466106,0.59,85721,23189,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Bareilly,459467,0.71,127583,11134,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
Uttar Pradesh,Basti,331936,0.6,121578,13424,https://cdn.protograph.pykih.com/Assets/Ahmedabad.png
